Location,Year,Municipality Population-- do not change or edit - click to see definition,Direct Circ,Total Appropriated Municipal Income--Operating,1 Total number of adult programs,2 Total attendance at all adult programs,3 Total number of Young Adult programs,4 Total attendance at YA programs,5 Total number of children's programs,6 Total Attendance at all Children's Programs,7 Total Number of Programs,8 Total Attendance at All Programs,ILL Received,ILL Provided,Visitors,1 Number of public use Internet computers available in the library (including children's area) and its branches and bookmobiles,Number of Users of Public Internet Computers Per Year - IMLS
Bernardston - Cushman Library,2016,"2,123","14,591","$64,230",67,436,9,24,76,310,152,770,"3,169","1,851","7,470",2,
Truro - Truro Public Library,2016,"2,011","70,563","$360,155",105,"3,167",10,33,201,"4,674",316,"7,874","10,347","15,931","95,121",5,"9,828"
Hinsdale - Hinsdale Public Library,2016,"1,994","13,146","$66,800",13,146,,,8,90,21,236,468,,"7,107",4,"3,120"
Stockbridge - Stockbridge Library Association,2016,"1,963","18,902","$144,100",39,"1,300",4,36,132,"3,096",175,"4,432","2,960","3,183","23,308",9,"3,432"
Oakham - Fobes Memorial Library,2016,"1,912","7,135","$56,626",60,630,10,145,256,"3,593",326,"4,368",223,268,"6,250",3,"1,040"
Conway - Field Memorial Library,2016,"1,902","9,785","$2,385",26,396,1,,11,151,38,547,387,,"4,459",1,156
Shelburne - Shelburne Free Public Library,2016,"1,893","9,286","$28,322",0,0,0,0,1,12,1,12,"1,224","1,379",,1,416
Shelburne - Arms Library,2016,"1,893","26,969","$30,343",36,556,0,,26,70,62,626,"5,341","2,592",,3,780
Buckland - Buckland Public Library,2016,"1,889","13,026","$38,395",,,0,0,,,0,0,"2,045","1,697",,4,"1,404"
Wales - Wales Public Library,2016,"1,875","6,448","$50,230",1,0,0,0,49,175,50,175,877,"1,601","3,306",3,364
Leverett - Leverett Library,2016,"1,861","36,854","$73,093",53,858,0,,64,806,117,"1,664","7,087","4,334","18,057",6,"1,820"
Erving - Erving Public Library,2016,"1,796","15,878","$57,893",14,166,4,44,27,756,45,966,"3,163","2,777","6,447",4,"1,040"
Russell - Russell Public Library,2016,"1,789","2,517","$38,769",4,28,0,0,9,122,13,150,25,25,0,3,
Shutesbury - M. N. Spear Memorial Library,2016,"1,773","33,474","$68,327",54,579,0,0,73,"1,224",127,"1,803","4,737","4,852","11,097",2,"1,820"
Ashfield - Belding Memorial Library,2016,"1,733","28,896","$45,512",12,110,0,0,41,225,53,335,"4,783","2,504","8,734",3,"1,300"
Phillipston - Phillips Free Public Library,2016,"1,707","6,640","$25,720",8,75,0,0,41,"2,043",49,"2,118",127,0,,3,260
Clarksburg - Clarksburg Town Library,2016,"1,679","19,973","$62,535",3,325,1,48,120,"2,955",124,"3,328",912,"1,933",,5,"2,600"
Colrain - Griswold Memorial Library,2016,"1,661","16,002","$55,480",13,137,0,0,31,286,44,423,"3,432","2,095","5,628",3,260
Granville - Granville Public Library,2016,"1,612","7,505","$36,702",4,60,0,0,6,65,10,125,772,"2,331","3,758",3,104
Westhampton - Westhampton Memorial Library,2016,"1,603","21,082","$89,832",190,"1,937",0,0,115,"1,583",305,"3,520","2,879","3,867",,4,"1,300"
Otis - Otis Free Public Library,2016,"1,595","14,166","$60,885",5,125,,,7,140,12,265,"2,894","2,653","8,790",5,
Charlemont - Tyler Memorial Library,2016,"1,586","2,759","$22,099",8,184,1,11,9,62,18,257,173,0,"1,624",2,"1,196"
Whately - S. White Dickinson Memorial Library,2016,"1,505","11,792","$55,235",46,"1,003",3,25,18,380,67,"1,408","1,545","2,488","5,050",3,832
New Marlborough - New Marlborough Town Library,2016,"1,497","22,564","$97,218",58,444,0,0,70,"1,399",128,"1,843","3,134","4,783","10,894",3,"1,040"
Gill - Slate Memorial Library,2016,"1,491","3,107","$25,832",1,25,,,40,100,41,125,97,,"1,856",2,
Richmond - Richmond Free Public Library,2016,"1,453","16,171","$56,382",29,319,0,0,30,169,59,488,"2,777","2,231","7,930",3,260
Chester - Hamilton Memorial Library,2016,"1,360","6,617","$34,911",,15,,,4,93,4,108,458,,,,"2,600"
Pelham - Pelham Library,2016,"1,319","36,992","$48,531",77,"1,184",3,86,223,"4,577",303,"5,847",791,466,"14,338",8,"1,612"
West Stockbridge - West Stockbridge Public Library,2016,"1,288","9,381","$34,728",3,30,1,10,10,91,14,131,"1,890","1,758","6,277",4,"1,456"
Royalston - Phinehas S. Newton Library,2016,"1,263","13,658","$55,333",71,"1,093",11,110,73,695,155,"1,898","1,295",400,"8,840",4,"1,560"
Blandford - Porter Memorial Library,2016,"1,246","10,271","$45,631",65,210,0,0,26,120,91,330,798,"1,538",,5,"1,040"
Petersham - Petersham Memorial Library,2016,"1,244","10,949","$9,050",22,389,5,0,45,624,72,"1,013","2,492","1,598","5,926",5,624
Chesterfield - Chesterfield Public Library,2016,"1,239","6,833","$24,630",4,100,0,0,50,632,54,732,674,"1,165",0,3,312
Egremont - Egremont Free Library,2016,"1,224","2,473","$34,447",12,72,6,10,35,525,53,607,326,633,,3,416
Worthington - Worthington Library,2016,"1,167","4,165","$16,441",77,365,0,,24,324,101,689,496,0,"3,382",4,520
Goshen - Goshen Free Public Library,2016,"1,058","1,006","$6,909",13,103,,,1,27,14,130,163,0,685,2,208
New Braintree - New Braintree Public Library,2016,"1,024","3,783","$17,270",4,76,,,18,328,22,404,36,0,"2,590",3,312
New Salem - New Salem Public Library,2016,"1,002","12,319","$54,083",22,261,40,479,30,265,92,"1,005","1,769","2,195","6,614",6,728
Monterey - Monterey Public Library,2016,957,"15,967","$68,310",56,672,0,0,9,140,65,812,"3,216","3,891","7,887",4,"3,120"
Sandisfield - Sandisfield Public Library,2016,920,979,"$13,749",5,,,,5,25,10,25,150,18,"1,125",2,416
Chilmark - Chilmark Free Public Library,2016,913,"60,128","$327,812",37,"1,069",,,237,"3,549",274,"4,618","3,799","17,122","38,553",8,"1,092"
Windsor - Windsor Free Public Library,2016,903,"2,570","$2,615",0,0,0,0,26,181,26,181,423,,"1,505",1,260
Wendell - Wendell Free Library,2016,868,"27,475","$43,084",227,"1,441",33,152,110,"1,447",370,"3,040","3,821","3,785","15,638",7,"3,120"
Cummington - Bryant Free Library,2016,867,"1,472","$7,330",6,24,0,0,1,8,7,32,22,0,"1,047",1,156
Montgomery - Grace Hall Memorial Library,2016,862,"6,170","$21,991",13,378,,,13,346,26,724,342,248,"3,195",1,416
Peru - Peru Library,2016,842,"2,290","$8,254",10,132,1,4,4,48,15,184,93,0,"1,390",4,260
Warwick - Warwick Free Public Library,2016,774,"4,325","$28,443",4,164,0,0,1,60,5,224,893,982,"5,412",3,"3,900"
Florida - Florida Free Public Library,2016,744,"4,403","$32,494",2,20,0,0,80,800,82,820,311,"1,573","3,079",2,520
Leyden - Robertson Memorial Library,2016,721,"3,576","$24,122",0,0,0,0,2,73,2,73,600,0,"2,146",1,52
Hancock - Taylor Memorial Library,2016,717,,,,,,,,,,,,,,,
Heath - Heath Free Public Library,2016,703,"16,172","$41,742",2,63,,,20,134,22,197,"3,016","2,382","5,310",3,"1,040"
Savoy - Savoy Hollow Library,2016,683,,,0,0,0,0,0,0,0,0,,,52,0,
Plainfield - Shaw Memorial Library,2016,650,"7,088","$16,156",5,118,,,6,22,11,140,696,,,2,
Middlefield - Middlefield Public Library,2016,528,"1,916","$7,318",6,190,0,0,38,224,44,414,88,0,"1,950",7,260
Alford - Alford Free Public Library,2016,491,12,,,,,,1,180,1,180,,,284,0,
Tolland - Tolland Public Library,2016,489,"1,961","$17,257",1,11,,,3,23,4,34,59,,"1,436",2,208
Rowe - Rowe Town Library,2016,392,"9,528","$66,805",6,35,0,0,8,59,14,94,"1,218","1,940","4,085",3,104
Tyringham - Tyringham Free Public Library,2016,326,"1,380",,,,,,,,,,,,"1,392",2,364
Aquinnah - Aquinnah Public Library,2016,322,"13,079","$147,950",34,536,,,186,560,220,"1,096","2,069","5,826",,3,832
Mount Washington - Mount Washington Public Library,2016,166,860,"$1,374",4,45,,,,,4,45,,,,1,156
Monroe - Monroe Public Library,2016,121,,,,,,,,,,,,,,,
Gosnold - Cuttyhunk Public Library,2016,76,"1,332","$12,230",,,,,4,23,4,23,,,"1,332",0,
